OrderID,OrderDate,Branch,Category,MenuItem,Quantity,UnitPrice,OrderValue,OrderChannel,DeliveryPartner,PrepTimeMinutes,DeliveryTimeMinutes,TotalTimeMinutes,PaymentMethod,CustomerRating,WastageQuantityKg,Weather,DayType,OptimizationPhase
ORD000029,2023-01-01,Kingston Upon Thames,Beverages,Coffee,1,3.0,3.0,Delivery,Deliveroo,18,58,76,Mobile Wallet,5,0,Clear,Weekend,Pre-Optimization
ORD000030,2023-01-01,Camden High Street,Mains,Margherita Pizza,1,11.0,11.0,Delivery,Just Eat,17,60,77,Card,4,0,Rain,Weekend,Pre-Optimization
ORD000031,2023-01-01,Camden High Street,Starters,Soup of the Day,1,5.0,5.0,Delivery,Uber Eats,15,31,46,Mobile Wallet,4,1.34,Clear,Weekend,Pre-Optimization
ORD000032,2023-01-01,Canary Wharf,Beverages,Coffee,2,3.0,6.0,Takeaway,N/A,20,0,20,Mobile Wallet,5,0,Cloudy,Weekend,Pre-Optimization
ORD000033,2023-01-01,Kingston Upon Thames,Beverages,Coffee,3,3.0,9.0,Delivery,Uber Eats,20,53,73,Card,4,0,Clear,Weekend,Pre-Optimization
ORD000034,2023-01-01,Shoreditch East,Mains,Beef Burger,2,10.5,21.0,Dine-In,N/A,17,0,17,Card,2,0,Clear,Weekend,Pre-Optimization
ORD000035,2023-01-01,Canary Wharf,Beverages,Soft Drink,1,2.5,2.5,Delivery,In-House Rider,26,56,82,Card,1,0,Clear,Weekend,Pre-Optimization
ORD000036,2023-01-01,Greenwich Riverside,Desserts,Tiramisu,1,6.5,6.5,Delivery,Deliveroo,25,45,70,Card,3,0.28,Clear,Weekend,Pre-Optimization
ORD000037,2023-01-01,Camden High Street,Beverages,Coffee,2,3.0,6.0,Dine-In,N/A,30,0,30,Card,5,0,Clear,Weekend,Pre-Optimization
ORD000038,2023-01-01,Camden High Street,Mains,Veg Stir Fry,1,9.5,9.5,Dine-In,N/A,19,0,19,Cash,3,0,Cloudy,Weekend,Pre-Optimization
ORD000039,2023-01-01,Canary Wharf,Beverages,Milkshake,3,4.0,12.0,Dine-In,N/A,29,0,29,Mobile Wallet,4,0,Cloudy,Weekend,Pre-Optimization
ORD000040,2023-01-01,Shoreditch East,Starters,Bruschetta,1,5.5,5.5,Dine-In,N/A,14,0,14,Mobile Wallet,5,0,Rain,Weekend,Pre-Optimization
ORD000041,2023-01-01,Shoreditch East,Starters,Calamari,1,7.0,7.0,Dine-In,N/A,24,0,24,Mobile Wallet,4,0,Rain,Weekend,Pre-Optimization
ORD000042,2023-01-01,Camden High Street,Mains,Grilled Salmon,4,16.0,64.0,Takeaway,N/A,19,0,19,Cash,5,0,Clear,Weekend,Pre-Optimization
ORD000043,2023-01-01,Canary Wharf,Mains,Beef Burger,1,10.5,10.5,Takeaway,N/A,30,0,30,Mobile Wallet,5,0,Clear,Weekend,Pre-Optimization
ORD000044,2023-01-01,Canary Wharf,Starters,Garlic Bread,2,4.5,9.0,Dine-In,N/A,20,0,20,Mobile Wallet,4,0,Clear,Weekend,Pre-Optimization
ORD000045,2023-01-01,Greenwich Riverside,Beverages,Milkshake,3,4.0,12.0,Takeaway,N/A,26,0,26,Mobile Wallet,5,0,Clear,Weekend,Pre-Optimization
ORD000046,2023-01-02,Shoreditch East,Desserts,Cheesecake,4,6.0,24.0,Dine-In,N/A,18,0,18,Card,5,0,Clear,Weekday,Pre-Optimization
ORD000047,2023-01-02,Shoreditch East,Desserts,Tiramisu,3,6.5,19.5,Dine-In,N/A,23,0,23,Mobile Wallet,5,0,Clear,Weekday,Pre-Optimization
ORD000048,2023-01-02,Shoreditch East,Starters,Garlic Bread,1,4.5,4.5,Dine-In,N/A,24,0,24,Mobile Wallet,4,1.32,Clear,Weekday,Pre-Optimization
ORD000049,2023-01-02,Shoreditch East,Desserts,Tiramisu,1,6.5,6.5,Dine-In,N/A,22,0,22,Mobile Wallet,3,0,Cloudy,Weekday,Pre-Optimization
ORD000050,2023-01-02,Camden High Street,Starters,Bruschetta,1,5.5,5.5,Dine-In,N/A,15,0,15,Cash,5,0,Clear,Weekday,Pre-Optimization
ORD000051,2023-01-02,Kingston Upon Thames,Mains,Margherita Pizza,2,11.0,22.0,Delivery,Just Eat,24,56,80,Card,5,0,Clear,Weekday,Pre-Optimization
ORD000052,2023-01-02,Kingston Upon Thames,Beverages,Coffee,1,3.0,3.0,Takeaway,N/A,30,0,30,Mobile Wallet,4,0,Clear,Weekday,Pre-Optimization
ORD000053,2023-01-02,Kingston Upon Thames,Mains,Grilled Salmon,1,16.0,16.0,Delivery,In-House Rider,18,65,83,Cash,1,0,Clear,Weekday,Pre-Optimization
ORD000054,2023-01-02,Camden High Street,Beverages,Milkshake,2,4.0,8.0,Takeaway,N/A,29,0,29,Cash,5,0,Rain,Weekday,Pre-Optimization
ORD000055,2023-01-02,Kingston Upon Thames,Starters,Bruschetta,2,5.5,11.0,Delivery,In-House Rider,29,41,70,Card,2,0,Cloudy,Weekday,Pre-Optimization
ORD000056,2023-01-02,Shoreditch East,Beverages,Soft Drink,1,2.5,2.5,Delivery,Just Eat,16,55,71,Mobile Wallet,5,0.32,Clear,Weekday,Pre-Optimization
ORD000057,2023-01-02,Kingston Upon Thames,Mains,Veg Stir Fry,2,9.5,19.0,Dine-In,N/A,23,0,23,Mobile Wallet,4,0.09,Clear,Weekday,Pre-Optimization
ORD000058,2023-01-02,Camden High Street,Beverages,Fresh Juice,1,3.5,3.5,Takeaway,N/A,30,0,30,Cash,4,0,Clear,Weekday,Pre-Optimization
ORD000059,2023-01-02,Kingston Upon Thames,Starters,Bruschetta,4,5.5,22.0,Dine-In,N/A,14,0,14,Cash,4,0,Cloudy,Weekday,Pre-Optimization
ORD000060,2023-01-02,Greenwich Riverside,Desserts,Tiramisu,1,6.5,6.5,Delivery,Deliveroo,16,62,78,Card,5,0,Cloudy,Weekday,Pre-Optimization
ORD000061,2023-01-02,Shoreditch East,Beverages,Coffee,1,3.0,3.0,Takeaway,N/A,17,0,17,Mobile Wallet,4,0,Cloudy,Weekday,Pre-Optimization
ORD000062,2023-01-02,Greenwich Riverside,Starters,Garlic Bread,4,4.5,18.0,Dine-In,N/A,28,0,28,Cash,5,0.52,Clear,Weekday,Pre-Optimization
ORD000063,2023-01-02,Canary Wharf,Desserts,Chocolate Brownie,3,5.5,16.5,Dine-In,N/A,17,0,17,Card,3,0,Clear,Weekday,Pre-Optimization
ORD000064,2023-01-02,Canary Wharf,Desserts,Tiramisu,4,6.5,26.0,Dine-In,N/A,16,0,16,Cash,2,0,Cloudy,Weekday,Pre-Optimization
ORD000065,2023-01-02,Canary Wharf,Mains,Fish & Chips,2,12.0,24.0,Dine-In,N/A,18,0,18,Card,1,0,Clear,Weekday,Pre-Optimization
ORD000066,2023-01-02,Canary Wharf,Desserts,Ice Cream Sundae,3,5.0,15.0,Delivery,Just Eat,20,30,50,Card,2,0,Rain,Weekday,Pre-Optimization
ORD000067,2023-01-02,Shoreditch East,Mains,Fish & Chips,1,12.0,12.0,Takeaway,N/A,18,0,18,Card,4,0,Clear,Weekday,Pre-Optimization
ORD000068,2023-01-02,Canary Wharf,Mains,Grilled Salmon,1,16.0,16.0,Dine-In,N/A,26,0,26,Card,5,0,Clear,Weekday,Pre-Optimization
ORD000069,2023-01-02,Greenwich Riverside,Beverages,Soft Drink,3,2.5,7.5,Takeaway,N/A,28,0,28,Cash,5,0,Clear,Weekday,Pre-Optimization
ORD000070,2023-01-02,Canary Wharf,Desserts,Chocolate Brownie,1,5.5,5.5,Takeaway,N/A,22,0,22,Mobile Wallet,5,0.44,Clear,Weekday,Pre-Optimization
ORD000071,2023-01-02,Kingston Upon Thames,Mains,Veg Stir Fry,1,9.5,9.5,Dine-In,N/A,15,0,15,Cash,5,0,Clear,Weekday,Pre-Optimization
ORD000072,2023-01-03,Kingston Upon Thames,Mains,Beef Burger,1,10.5,10.5,Takeaway,N/A,21,0,21,Cash,4,0,Cloudy,Weekday,Pre-Optimization
ORD000073,2023-01-03,Camden High Street,Desserts,Ice Cream Sundae,2,5.0,10.0,Dine-In,N/A,29,0,29,Mobile Wallet,4,0.47,Cloudy,Weekday,Pre-Optimization
ORD000074,2023-01-03,Kingston Upon Thames,Beverages,Soft Drink,1,2.5,2.5,Delivery,In-House Rider,21,34,55,Card,4,0,Cloudy,Weekday,Pre-Optimization
ORD000075,2023-01-03,Greenwich Riverside,Starters,Soup of the Day,1,5.0,5.0,Dine-In,N/A,18,0,18,Card,4,1.07,Cloudy,Weekday,Pre-Optimization
ORD000076,2023-01-03,Canary Wharf,Desserts,Ice Cream Sundae,2,5.0,10.0,Takeaway,N/A,17,0,17,Card,5,0,Rain,Weekday,Pre-Optimization
ORD000077,2023-01-03,Greenwich Riverside,Starters,Garlic Bread,1,4.5,4.5,Dine-In,N/A,23,0,23,Cash,5,0,Cloudy,Weekday,Pre-Optimization
ORD000078,2023-01-03,Shoreditch East,Mains,Grilled Salmon,1,16.0,16.0,Takeaway,N/A,14,0,14,Cash,3,0,Clear,Weekday,Pre-Optimization
ORD000079,2023-01-03,Greenwich Riverside,Desserts,Ice Cream Sundae,1,5.0,5.0,Delivery,Deliveroo,27,48,75,Card,4,0,Rain,Weekday,Pre-Optimization
ORD000080,2023-01-03,Canary Wharf,Mains,Beef Burger,1,10.5,10.5,Takeaway,N/A,23,0,23,Mobile Wallet,2,0.74,Clear,Weekday,Pre-Optimization
ORD000081,2023-01-03,Shoreditch East,Mains,Grilled Salmon,1,16.0,16.0,Dine-In,N/A,23,0,23,Card,1,0,Clear,Weekday,Pre-Optimization
ORD000082,2023-01-03,Shoreditch East,Starters,Soup of the Day,4,5.0,20.0,Takeaway,N/A,18,0,18,Cash,5,0.89,Clear,Weekday,Pre-Optimization
ORD000083,2023-01-03,Camden High Street,Beverages,Soft Drink,3,2.5,7.5,Dine-In,N/A,24,0,24,Mobile Wallet,5,0.08,Clear,Weekday,Pre-Optimization
ORD000084,2023-01-03,Kingston Upon Thames,Starters,Soup of the Day,1,5.0,5.0,Delivery,Just Eat,25,46,71,Cash,5,0.42,Clear,Weekday,Pre-Optimization
ORD000085,2023-01-03,Camden High Street,Mains,Beef Burger,1,10.5,10.5,Takeaway,N/A,23,0,23,Cash,5,0,Clear,Weekday,Pre-Optimization
ORD000086,2023-01-03,Kingston Upon Thames,Mains,Beef Burger,1,10.5,10.5,Delivery,Just Eat,14,65,79,Cash,5,0,Clear,Weekday,Pre-Optimization
ORD000087,2023-01-03,Greenwich Riverside,Starters,Bruschetta,3,5.5,16.5,Dine-In,N/A,15,0,15,Cash,5,0.91,Clear,Weekday,Pre-Optimization
ORD000088,2023-01-03,Canary Wharf,Starters,Soup of the Day,1,5.0,5.0,Delivery,Uber Eats,22,44,66,Card,3,0,Cloudy,Weekday,Pre-Optimization
ORD000089,2023-01-03,Camden High Street,Mains,Grilled Salmon,1,16.0,16.0,Dine-In,N/A,28,0,28,Cash,3,0,Cloudy,Weekday,Pre-Optimization
ORD000090,2023-01-03,Shoreditch East,Mains,Chicken Tikka Masala,1,13.5,13.5,Delivery,Uber Eats,18,63,81,Card,4,0,Clear,Weekday,Pre-Optimization
ORD000091,2023-01-03,Kingston Upon Thames,Mains,Beef Burger,1,10.5,10.5,Dine-In,N/A,19,0,19,Card,4,0,Clear,Weekday,Pre-Optimization
ORD000092,2023-01-03,Kingston Upon Thames,Desserts,Ice Cream Sundae,3,5.0,15.0,Dine-In,N/A,16,0,16,Cash,3,0,Clear,Weekday,Pre-Optimization
ORD000093,2023-01-03,Greenwich Riverside,Mains,Margherita Pizza,1,11.0,11.0,Dine-In,N/A,21,0,21,Mobile Wallet,4,0,Cloudy,Weekday,Pre-Optimization
ORD000094,2023-01-03,Canary Wharf,Mains,Veg Stir Fry,1,9.5,9.5,Dine-In,N/A,22,0,22,Card,4,0,Clear,Weekday,Pre-Optimization
ORD000095,2023-01-03,Canary Wharf,Mains,Beef Burger,1,10.5,10.5,Delivery,Just Eat,22,40,62,Mobile Wallet,4,0,Clear,Weekday,Pre-Optimization
ORD000096,2023-01-03,Greenwich Riverside,Starters,Calamari,1,7.0,7.0,Delivery,Deliveroo,28,48,76,Card,2,0,Clear,Weekday,Pre-Optimization
ORD000097,2023-01-03,Kingston Upon Thames,Mains,Beef Burger,4,10.5,42.0,Delivery,Uber Eats,30,36,66,Cash,3,0,Rain,Weekday,Pre-Optimization
ORD000098,2023-01-03,Camden High Street,Desserts,Cheesecake,1,6.0,6.0,Dine-In,N/A,25,0,25,Cash,5,0,Clear,Weekday,Pre-Optimization
ORD000099,2023-01-03,Kingston Upon Thames,Mains,Beef Burger,3,10.5,31.5,Delivery,Uber Eats,27,48,75,Card,3,0.05,Clear,Weekday,Pre-Optimization
ORD000100,2023-01-03,Greenwich Riverside,Starters,Calamari,2,7.0,14.0,Dine-In,N/A,18,0,18,Mobile Wallet,4,0,Clear,Weekday,Pre-Optimization
ORD000101,2023-01-03,Canary Wharf,Mains,Fish & Chips,2,12.0,24.0,Dine-In,N/A,27,0,27,Card,5,0,Clear,Weekday,Pre-Optimization
ORD000102,2023-01-03,Greenwich Riverside,Desserts,Cheesecake,2,6.0,12.0,Dine-In,N/A,26,0,26,Mobile Wallet,4,0,Clear,Weekday,Pre-Optimization
ORD000103,2023-01-03,Shoreditch East,Starters,Bruschetta,1,5.5,5.5,Dine-In,N/A,25,0,25,Cash,3,0.08,Clear,Weekday,Pre-Optimization
ORD000104,2023-01-03,Greenwich Riverside,Desserts,Cheesecake,2,6.0,12.0,Dine-In,N/A,19,0,19,Card,4,0,Clear,Weekday,Pre-Optimization
ORD000105,2023-01-03,Camden High Street,Beverages,Fresh Juice,2,3.5,7.0,Dine-In,N/A,20,0,20,Cash,5,0,Cloudy,Weekday,Pre-Optimization
ORD000106,2023-01-03,Greenwich Riverside,Desserts,Tiramisu,1,6.5,6.5,Dine-In,N/A,19,0,19,Mobile Wallet,3,0,Clear,Weekday,Pre-Optimization
ORD000107,2023-01-03,Shoreditch East,Mains,Chicken Tikka Masala,2,13.5,27.0,Delivery,In-House Rider,26,58,84,Card,4,0.37,Rain,Weekday,Pre-Optimization
ORD000108,2023-01-04,Camden High Street,Starters,Soup of the Day,2,5.0,10.0,Delivery,Uber Eats,17,49,66,Mobile Wallet,4,0,Cloudy,Weekday,Pre-Optimization
ORD000109,2023-01-04,Greenwich Riverside,Mains,Grilled Salmon,1,16.0,16.0,Dine-In,N/A,25,0,25,Cash,4,0,Clear,Weekday,Pre-Optimization
ORD000110,2023-01-04,Greenwich Riverside,Beverages,Soft Drink,2,2.5,5.0,Takeaway,N/A,28,0,28,Card,3,0,Clear,Weekday,Pre-Optimization
ORD000111,2023-01-04,Canary Wharf,Starters,Bruschetta,3,5.5,16.5,Dine-In,N/A,30,0,30,Mobile Wallet,3,0.2,Cloudy,Weekday,Pre-Optimization
ORD000112,2023-01-04,Canary Wharf,Beverages,Coffee,1,3.0,3.0,Delivery,Just Eat,18,26,44,Card,1,0,Cloudy,Weekday,Pre-Optimization
ORD000113,2023-01-04,Shoreditch East,Beverages,Fresh Juice,1,3.5,3.5,Dine-In,N/A,19,0,19,Mobile Wallet,3,0,Clear,Weekday,Pre-Optimization
ORD000114,2023-01-04,Canary Wharf,Mains,Veg Stir Fry,1,9.5,9.5,Takeaway,N/A,22,0,22,Cash,5,0,Cloudy,Weekday,Pre-Optimization
ORD000115,2023-01-04,Shoreditch East,Beverages,Coffee,1,3.0,3.0,Takeaway,N/A,25,0,25,Card,5,0,Rain,Weekday,Pre-Optimization
ORD000116,2023-01-04,Canary Wharf,Desserts,Tiramisu,1,6.5,6.5,Takeaway,N/A,22,0,22,Card,3,0.43,Cloudy,Weekday,Pre-Optimization
ORD000117,2023-01-04,Greenwich Riverside,Starters,Calamari,1,7.0,7.0,Takeaway,N/A,26,0,26,Mobile Wallet,3,0,Cloudy,Weekday,Pre-Optimization
ORD000118,2023-01-04,Kingston Upon Thames,Desserts,Chocolate Brownie,2,5.5,11.0,Dine-In,N/A,28,0,28,Card,5,0,Clear,Weekday,Pre-Optimization
ORD000119,2023-01-04,Kingston Upon Thames,Desserts,Chocolate Brownie,2,5.5,11.0,Dine-In,N/A,15,0,15,Card,5,0,Clear,Weekday,Pre-Optimization
ORD000120,2023-01-04,Kingston Upon Thames,Starters,Soup of the Day,1,5.0,5.0,Dine-In,N/A,21,0,21,Mobile Wallet,3,0.0,Clear,Weekday,Pre-Optimization
ORD000121,2023-01-04,Camden High Street,Beverages,Milkshake,1,4.0,4.0,Takeaway,N/A,23,0,23,Mobile Wallet,5,0,Cloudy,Weekday,Pre-Optimization
ORD000122,2023-01-04,Shoreditch East,Mains,Grilled Salmon,2,16.0,32.0,Dine-In,N/A,28,0,28,Card,5,1.0,Clear,Weekday,Pre-Optimization
ORD000123,2023-01-04,Canary Wharf,Starters,Soup of the Day,2,5.0,10.0,Delivery,Uber Eats,28,63,91,Mobile Wallet,3,0,Cloudy,Weekday,Pre-Optimization
ORD000124,2023-01-04,Camden High Street,Starters,Garlic Bread,1,4.5,4.5,Dine-In,N/A,21,0,21,Card,5,0,Clear,Weekday,Pre-Optimization
ORD000125,2023-01-04,Kingston Upon Thames,Mains,Beef Burger,1,10.5,10.5,Takeaway,N/A,20,0,20,Mobile Wallet,3,0,Rain,Weekday,Pre-Optimization
ORD000126,2023-01-04,Kingston Upon Thames,Mains,Fish & Chips,1,12.0,12.0,Dine-In,N/A,15,0,15,Mobile Wallet,3,0,Clear,Weekday,Pre-Optimization
ORD000127,2023-01-04,Greenwich Riverside,Beverages,Soft Drink,1,2.5,2.5,Delivery,Just Eat,19,39,58,Card,5,0,Clear,Weekday,Pre-Optimization
ORD000128,2023-01-04,Canary Wharf,Mains,Veg Stir Fry,2,9.5,19.0,Delivery,Just Eat,30,41,71,Cash,3,0,Clear,Weekday,Pre-Optimization
ORD000129,2023-01-04,Kingston Upon Thames,Mains,Veg Stir Fry,3,9.5,28.5,Dine-In,N/A,20,0,20,Card,3,0,Cloudy,Weekday,Pre-Optimization
ORD000130,2023-01-04,Canary Wharf,Desserts,Tiramisu,3,6.5,19.5,Takeaway,N/A,29,0,29,Cash,2,0,Cloudy,Weekday,Pre-Optimization
ORD000131,2023-01-04,Greenwich Riverside,Mains,Grilled Salmon,2,16.0,32.0,Delivery,Uber Eats,20,50,70,Mobile Wallet,4,0,Clear,Weekday,Pre-Optimization
ORD000132,2023-01-04,Camden High Street,Starters,Calamari,2,7.0,14.0,Dine-In,N/A,19,0,19,Cash,1,0,Clear,Weekday,Pre-Optimization
ORD000133,2023-01-04,Shoreditch East,Starters,Soup of the Day,2,5.0,10.0,Takeaway,N/A,15,0,15,Card,2,0,Clear,Weekday,Pre-Optimization
ORD000134,2023-01-05,Camden High Street,Desserts,Tiramisu,1,6.5,6.5,Delivery,Deliveroo,20,32,52,Card,5,0,Cloudy,Weekday,Pre-Optimization
ORD000135,2023-01-05,Camden High Street,Mains,Fish & Chips,1,12.0,12.0,Delivery,Deliveroo,17,38,55,Cash,5,0,Clear,Weekday,Pre-Optimization
ORD000136,2023-01-05,Canary Wharf,Starters,Soup of the Day,2,5.0,10.0,Delivery,Uber Eats,24,63,87,Mobile Wallet,4,0,Rain,Weekday,Pre-Optimization
ORD000137,2023-01-05,Greenwich Riverside,Beverages,Coffee,2,3.0,6.0,Dine-In,N/A,25,0,25,Cash,3,0,Clear,Weekday,Pre-Optimization
ORD000138,2023-01-05,Camden High Street,Mains,Fish & Chips,1,12.0,12.0,Takeaway,N/A,14,0,14,Mobile Wallet,5,0,Cloudy,Weekday,Pre-Optimization
ORD000139,2023-01-05,Camden High Street,Starters,Calamari,1,7.0,7.0,Dine-In,N/A,19,0,19,Cash,4,0,Clear,Weekday,Pre-Optimization
ORD000140,2023-01-05,Kingston Upon Thames,Mains,Fish & Chips,3,12.0,36.0,Delivery,Deliveroo,29,35,64,Card,2,0,Clear,Weekday,Pre-Optimization
ORD000141,2023-01-05,Kingston Upon Thames,Desserts,Chocolate Brownie,1,5.5,5.5,Delivery,Just Eat,26,30,56,Cash,2,0.1,Clear,Weekday,Pre-Optimization
ORD000142,2023-01-05,Kingston Upon Thames,Desserts,Tiramisu,4,6.5,26.0,Takeaway,N/A,21,0,21,Cash,5,0,Rain,Weekday,Pre-Optimization
ORD000143,2023-01-05,Kingston Upon Thames,Desserts,Cheesecake,2,6.0,12.0,Takeaway,N/A,30,0,30,Card,2,0,Rain,Weekday,Pre-Optimization
ORD000144,2023-01-05,Canary Wharf,Beverages,Soft Drink,2,2.5,5.0,Dine-In,N/A,22,0,22,Mobile Wallet,5,0,Rain,Weekday,Pre-Optimization
ORD000145,2023-01-05,Shoreditch East,Mains,Veg Stir Fry,1,9.5,9.5,Takeaway,N/A,18,0,18,Mobile Wallet,5,0,Clear,Weekday,Pre-Optimization
ORD000146,2023-01-05,Kingston Upon Thames,Mains,Grilled Salmon,1,16.0,16.0,Dine-In,N/A,20,0,20,Cash,1,0,Clear,Weekday,Pre-Optimization
ORD000147,2023-01-05,Camden High Street,Mains,Margherita Pizza,4,11.0,44.0,Dine-In,N/A,23,0,23,Mobile Wallet,5,0,Clear,Weekday,Pre-Optimization
ORD000148,2023-01-05,Camden High Street,Desserts,Tiramisu,1,6.5,6.5,Dine-In,N/A,14,0,14,Cash,2,0,Clear,Weekday,Pre-Optimization
ORD000149,2023-01-05,Canary Wharf,Mains,Margherita Pizza,1,11.0,11.0,Takeaway,N/A,26,0,26,Card,3,0,Clear,Weekday,Pre-Optimization
ORD000150,2023-01-05,Kingston Upon Thames,Desserts,Ice Cream Sundae,3,5.0,15.0,Takeaway,N/A,21,0,21,Mobile Wallet,5,0,Clear,Weekday,Pre-Optimization
ORD000151,2023-01-05,Canary Wharf,Starters,Calamari,3,7.0,21.0,Takeaway,N/A,21,0,21,Cash,3,0,Clear,Weekday,Pre-Optimization
ORD000152,2023-01-05,Greenwich Riverside,Starters,Garlic Bread,2,4.5,9.0,Takeaway,N/A,27,0,27,Mobile Wallet,3,0,Clear,Weekday,Pre-Optimization
ORD000153,2023-01-05,Canary Wharf,Desserts,Tiramisu,3,6.5,19.5,Delivery,In-House Rider,15,41,56,Mobile Wallet,5,0,Cloudy,Weekday,Pre-Optimization
ORD000154,2023-01-05,Shoreditch East,Starters,Calamari,3,7.0,21.0,Takeaway,N/A,28,0,28,Mobile Wallet,5,0,Clear,Weekday,Pre-Optimization
